source,interaction,target,orig_src,orig_trg
,published,,the instrument server,its brick structure
,working,,we,its brick structure
,published,,the instrument server,its brick structure
,working,,we,its brick structure
,control,,fledged interfaces,layer
,diagnosed,,any problem in the field,means
,diagnosed,,the need for a debugger,means
,diagnosed,,any problem in the field,means
,diagnosed,,the need for a debugger,means
,shipped,,the inspection dialogues,means
,calibrated,,one,measurements
,calibrated,,one,measurements
,need,,one,measurements
,calibrated,,measurements,measurements
,are,,there,minimal dependencies between applications
,have,,hardware abstraction : exchange,minimal impact on generic module behavior
,included,,other applications,modifications
,differed,,different customers,needs
,seek,,objects,objects
,depicted,,these relationships,order
,depicted,,these relationships,order
,apply,,which,our instruments
,are,,the bricks,process com servers
,!was,,the value,processing
,is,,an advanced application,repair
,enabled,,it,resolution images
,releasing,,the elements (,resources
,do,,course,runs
,do,,the pc,runs
,do,,the necessity,runs
,do,,course,runs
,do,,the necessity,runs
,do,,the pc,runs
,take,,the purpose of process control,samples
,take,,the purpose of process control out at in the process,samples
,take,,strategic points in the process,samples
,are,,there,several manipulator systems
,define,,served,several systems
,are,,the decomposition criteria,site development
,are,,examples,slice
,are,,examples,slice view
,are,,throughput,some general requirements
,are,,robustness,some general requirements
,are,,uptime,some general requirements
,do,,this layer,some modeling
,done,,some modeling,some modeling
,do,,this layer,some modeling
,capture,,instance,specific modeling choice
,are,,certification,specific requirements
,are,,comparison,specific requirements
,are,,there,stroke versions
,compose,,order,table
,compose,,order,table
,perform,,the image,that be performed on the image
,expose,,the user interface,that is exposed by the user interface
,share,,"all applications ,","that is shared by all applications ,"
,use,,positioned,that is used
,is,,another aspect,that parallel development
,formed,,these three processes,the basic software
,see,,table,the capability
,are,,the major modules,the columns
,showed,,a data bar,the conditions below an image
,specify,,a configuration file per (,the connectivity
,specify,,often configuration amendments for options,the connectivity
,specify,,"a set of ,",the creation
,depict,,figure 5,the execution model
,mean,,flexibility,the fact is
,is,,the image,the first bottom layer
,took,,this,the form
,are,,system tasks,the generic functions
,abstracted,,hal ) layer,the hardware devices
,abstracted,,hal ) layer,the hardware devices
,correspond,,the task,the horizontal position
,distinguish,,one,the incremental approach
,distinguish,,one,the incremental approach
,distinguish,,one,the incremental approach in the development of the instrument family
,ship,,"the software ,",the inspection dialogues
,released,,"the software ,",the inspection dialogues
,ship,,"the software ,",the inspection dialogues
,released,,"the software ,",the inspection dialogues
,use,,modified,the ion beam
,determined,,the landing place,the location
,determined,,the landing place,the location
,reserve,,four images (,the majority
,reserve,,other data ),the majority
,reserve,,four images (,the majority
,reserve,,other data,the majority
,keep,,fixed,the mappings
,download,,the software,the necessity
,download,,a test environment,the necessity
,download,,the real instrument,the necessity
,simulated,,runs,the necessity
,download,,the software,the necessity
,download,,a test environment,the necessity
,download,,the real instrument,the necessity
,simulated,,runs,the necessity
,involved,,they,the organization
,held,,the application server,the parts
,enabled,,it,the possibility
,enabled,,it,the possibility
,provided,,other bricks,the possibility
,remember,,"the last image of ,",the presentation choice
,showed,,it,the processes
,reviewed,,we,the product requirements
,derive,,a dimensional image of the surface,the relevant information
,derive,,a dimensional image of the surface,the relevant information
,are,,control panels,the reusable entities
,yielded,,measurements,the same results
,derive,,the key customer drivers,the specific application drivers
,described,,we,the system architecture
,are,,applications,the system functionality
,identify,,figure 4,the tasks
,are,,these,the tasks
,held,,the instrument server,the tasks
,are,,these,the typical use cases
,hold,,four quads,the user interface
,hold,,four quads,the user interface
,started,,the bricks,their internal threads
,started,,the bricks,their internal threads
,called,,we,them
,called,,we,these step tasks
,realize,,com components,they
,attribute,,a significant part to the fact is an infrastructure / architecture,this
,enhance,,gasses,this process
,enhance,,means of a injection system gis near the landing place of the ions,this process
,added,,gasses,this process
,enhance,,gasses,this process
,added,,gasses,this process
,enhance,,means of a injection system gis near the landing place of the ions,this process
,prepared,,that prepared structure,this structure
,prepared,,that prepared structure with a high degree of automation,this structure
,equip,,performance electron column for optimum characterization capabilities,this system
,need,,failure analysis,various techniques
,are,,"some final , general requirements",versatility
,enabled,,the flexibility,versatility
,are,,examples,view
,be,,these,wafers
,call,,the object model,we
,call,,quads,we
,call,,quads,we
,call,,the control pages,we
,do,,one,what
,do,,one,what with the systems
,host,,layers of various natures,which
,separated,,we,which
,separated,,we,which
,provide,,software engineers,which
,provide,,means,which
,provide,,software engineers,which
,provide,,means,which
